time,heartrate,steps,stress
12:01:00,97,0,0
12:02:00,93,0,9
12:03:00,86,0,2
12:04:00,81,0,0
12:05:00,90,0,6
12:06:00,97,0,13
12:07:00,92,0,8
12:08:00,91,0,7
12:09:00,91,0,7
12:10:00,87,0,3
12:11:00,85,0,1
12:12:00,84,0,0
12:13:00,81,0,0
12:14:00,83,18,0
12:15:00,97,52,0
12:16:00,105,10,0
12:17:00,90,15,0
12:18:00,86,11,0
12:19:00,96,68,0
12:20:00,91,0,0
12:21:00,84,0,0
12:22:00,83,0,0
12:23:00,77,9,0
12:24:00,84,0,0
12:25:00,86,0,2
12:26:00,79,8,0
12:27:00,76,0,0
12:28:00,77,0,0
12:29:00,79,0,0
12:30:00,80,0,0
12:31:00,80,0,0
12:32:00,83,0,0
12:33:00,82,0,0
12:34:00,84,0,0
12:35:00,81,0,0
12:36:00,79,0,0
12:37:00,86,0,2
12:38:00,83,0,0
12:39:00,78,0,0
12:40:00,81,41,0
12:41:00,94,86,0
12:42:00,88,1,0
12:43:00,92,115,0
12:44:00,126,135,0
12:45:00,125,127,0
12:46:00,126,134,0
12:47:00,133,133,0
12:48:00,127,130,0
12:49:00,121,128,0
12:50:00,112,123,0
12:51:00,115,124,0
12:52:00,100,67,0
12:53:00,114,43,0
12:54:00,118,0,0
12:55:00,114,0,0
12:56:00,112,0,0
12:57:00,105,10,0
12:58:00,83,0,0
12:59:00,77,0,0
13:00:00,73,0,0
13:01:00,74,0,0
13:02:00,69,0,0
13:03:00,67,0,0
13:04:00,78,0,0
13:05:00,80,0,0
13:06:00,83,0,0
13:07:00,71,0,0
13:08:00,77,0,0
13:09:00,74,0,0
13:10:00,82,0,0
13:11:00,82,0,0
13:12:00,79,0,0
13:13:00,77,0,0
13:14:00,79,0,0
13:15:00,76,0,0
13:16:00,77,0,0
13:17:00,81,0,0
13:18:00,82,0,0
13:19:00,75,0,0
13:20:00,79,0,0
13:21:00,78,0,0
13:22:00,77,0,0
13:23:00,71,0,0
13:24:00,72,0,0
13:25:00,79,0,0
13:26:00,68,0,0
13:27:00,71,0,0
13:28:00,86,0,2
13:29:00,85,0,1
13:30:00,89,0,5
13:31:00,87,0,3
13:32:00,84,0,0
13:33:00,85,0,1
13:34:00,86,0,2
13:35:00,83,0,0
13:36:00,86,0,2
13:37:00,78,0,0
13:38:00,81,0,0
13:39:00,80,16,0
13:40:00,91,17,0
13:41:00,94,0,0
13:42:00,83,0,0
13:43:00,78,0,0
13:44:00,76,0,0
13:45:00,80,0,0
13:46:00,79,0,0
13:47:00,74,0,0
13:48:00,79,0,0
13:49:00,80,0,0
13:50:00,79,0,0
13:51:00,79,0,0
13:52:00,78,0,0
13:53:00,77,0,0
13:54:00,77,0,0
13:55:00,76,0,0
13:56:00,76,0,0
13:57:00,78,0,0
13:58:00,75,0,0
13:59:00,77,0,0
14:00:00,80,0,0
14:01:00,76,0,0
14:02:00,79,0,0
14:03:00,77,0,0
14:04:00,78,0,0
14:05:00,77,0,0
14:06:00,84,0,0
14:07:00,88,0,4
14:08:00,85,0,1
14:09:00,85,0,1
14:10:00,84,0,0
14:11:00,78,0,0
14:12:00,78,0,0
14:13:00,75,0,0
14:14:00,70,0,0
14:15:00,72,0,0
14:16:00,69,0,0
14:17:00,74,0,0
14:18:00,79,0,0
14:19:00,84,0,0
14:20:00,78,0,0
14:21:00,78,0,0
14:22:00,75,0,0
14:23:00,73,0,0
14:24:00,78,0,0
14:25:00,70,0,0
14:26:00,79,0,0
14:27:00,85,0,1
14:28:00,78,0,0
14:29:00,70,0,0
14:30:00,73,0,0
14:31:00,82,0,0
14:32:00,71,0,0
14:33:00,83,0,0
14:34:00,79,0,0
14:35:00,77,0,0
14:36:00,77,0,0
14:37:00,76,0,0
14:38:00,74,0,0
14:39:00,76,0,0
14:40:00,78,0,0
14:41:00,77,0,0
14:42:00,74,0,0
14:43:00,73,0,0
14:44:00,83,0,0
14:45:00,83,0,0
14:46:00,82,0,0
14:47:00,74,0,0
14:48:00,75,0,0
14:49:00,74,0,0
14:50:00,71,0,0
14:51:00,76,0,0
14:52:00,83,12,0
14:53:00,93,22,0
14:54:00,98,19,0
14:55:00,80,0,0
14:56:00,76,0,0
14:57:00,72,0,0
14:58:00,71,0,0
14:59:00,69,0,0
15:00:00,76,6,0
15:01:00,84,0,0
15:02:00,77,0,0
15:03:00,78,14,0
15:04:00,82,6,0
15:05:00,77,0,0
15:06:00,74,0,0
15:07:00,74,0,0
15:08:00,68,0,0
15:09:00,68,0,0
15:10:00,82,0,0
15:11:00,79,0,0
15:12:00,76,0,0
15:13:00,78,0,0
15:14:00,75,0,0
15:15:00,79,0,0
15:16:00,86,0,2
15:17:00,80,0,0
15:18:00,84,0,0
15:19:00,83,0,0
15:20:00,77,0,0
15:21:00,77,0,0
15:22:00,75,0,0
15:23:00,80,35,0
15:24:00,84,0,0
15:25:00,84,0,0
15:26:00,82,20,0
15:27:00,81,6,0
15:28:00,85,14,0
15:29:00,79,0,0
15:30:00,72,0,0
15:31:00,73,0,0
15:32:00,71,0,0
15:33:00,80,0,0
15:34:00,87,47,0
15:35:00,87,29,0
15:36:00,93,16,0
15:37:00,89,0,0
15:38:00,93,0,9
15:39:00,107,36,0
15:40:00,105,0,0
15:41:00,99,17,0
15:42:00,88,13,0
15:43:00,89,16,0
15:44:00,104,13,0
15:45:00,103,8,0
15:46:00,94,6,0
15:47:00,92,0,0
15:48:00,85,0,1
15:49:00,88,21,0
15:50:00,89,10,0
15:51:00,94,52,0
15:52:00,108,120,0
15:53:00,126,124,0
15:54:00,124,126,0
15:55:00,119,127,0
15:56:00,120,126,0
15:57:00,127,119,0
15:58:00,129,111,0
15:59:00,130,128,0
16:00:00,120,81,0
16:01:00,112,0,0
16:02:00,96,0,0
16:03:00,93,0,0
16:04:00,99,0,0
16:05:00,91,0,7
16:06:00,85,0,1
16:07:00,71,0,0
16:08:00,65,0,0
16:09:00,73,0,0
16:10:00,82,0,0
16:11:00,88,0,4
16:12:00,76,0,0
16:13:00,89,0,5
16:14:00,93,0,9
16:15:00,90,0,6
16:16:00,81,0,0
16:17:00,89,0,5
16:18:00,86,0,2
16:19:00,80,0,0
16:20:00,70,0,0
16:21:00,60,0,0
16:22:00,62,0,0
16:23:00,63,0,0
16:24:00,90,0,6
16:25:00,73,0,0
16:26:00,65,0,0
16:27:00,67,0,0
16:28:00,72,0,0
16:29:00,84,0,0
16:30:00,77,0,0
16:31:00,76,0,0
16:32:00,76,0,0
16:33:00,75,0,0
16:34:00,75,0,0
16:35:00,77,0,0
16:36:00,76,0,0
16:37:00,79,0,0
16:38:00,79,0,0
16:39:00,72,0,0
16:40:00,69,0,0
16:41:00,80,0,0
16:42:00,75,0,0
16:43:00,75,0,0
16:44:00,72,0,0
16:45:00,74,0,0
16:46:00,79,0,0
16:47:00,63,0,0
16:48:00,79,0,0
16:49:00,73,0,0
16:50:00,69,0,0
16:51:00,72,0,0
16:52:00,85,0,1
16:53:00,83,0,0
16:54:00,73,0,0
16:55:00,68,0,0
16:56:00,68,0,0
16:57:00,68,0,0
16:58:00,69,0,0
16:59:00,78,0,0
17:00:00,79,0,0
17:01:00,76,0,0
17:02:00,74,0,0
17:03:00,71,0,0
17:04:00,69,0,0
17:05:00,69,0,0
17:06:00,65,0,0
17:07:00,66,0,0
17:08:00,72,0,0
17:09:00,82,0,0
17:10:00,83,0,0
17:11:00,83,0,0
17:12:00,74,0,0
17:13:00,75,0,0
17:14:00,79,0,0
17:15:00,80,0,0
17:16:00,79,0,0
17:17:00,78,0,0
17:18:00,76,0,0
17:19:00,78,0,0
17:20:00,79,0,0
17:21:00,78,0,0
17:22:00,78,0,0
17:23:00,74,0,0
17:24:00,72,0,0
17:25:00,85,0,1
17:26:00,82,0,0
17:27:00,86,0,2
17:28:00,79,0,0
17:29:00,75,0,0
17:30:00,78,0,0
17:31:00,78,0,0
17:32:00,78,0,0
17:33:00,83,0,0
17:34:00,82,0,0
17:35:00,83,0,0
17:36:00,86,0,2
17:37:00,78,0,0
17:38:00,80,0,0
17:39:00,76,0,0
17:40:00,78,0,0
17:41:00,86,0,2
17:42:00,81,0,0
17:43:00,75,0,0
17:44:00,81,0,0
17:45:00,83,0,0
17:46:00,77,0,0
17:47:00,90,0,6
17:48:00,83,0,0
17:49:00,74,0,0
17:50:00,79,0,0
17:51:00,81,0,0
17:52:00,77,0,0
17:53:00,70,0,0
17:54:00,71,0,0
17:55:00,72,6,0
17:56:00,88,80,0
17:57:00,100,102,0
17:58:00,98,96,0
17:59:00,105,106,0
18:00:00,103,111,0
18:01:00,103,114,0
18:02:00,97,107,0
18:03:00,96,107,0
18:04:00,91,105,0
18:05:00,92,1,0
18:06:00,94,88,0
18:07:00,102,109,0
18:08:00,106,44,0
18:09:00,104,33,0
18:10:00,106,18,0
18:11:00,80,0,0
18:12:00,76,12,0
18:13:00,89,0,0
18:14:00,85,0,1
18:15:00,92,30,0
18:16:00,94,53,0
18:17:00,89,20,0
18:18:00,93,36,0
18:19:00,95,48,0
18:20:00,104,104,0
18:21:00,117,119,0
18:22:00,114,120,0
18:23:00,110,120,0
18:24:00,105,116,0
18:25:00,108,117,0
18:26:00,107,123,0
18:27:00,101,114,0
18:28:00,86,117,0
18:29:00,92,119,0
18:30:00,95,117,0
18:31:00,101,118,0
18:32:00,100,112,0
18:33:00,97,110,0
18:34:00,97,100,0
18:35:00,92,33,0
18:36:00,94,22,0
18:37:00,90,0,0
18:38:00,83,0,0
18:39:00,81,0,0
18:40:00,83,0,0
18:41:00,81,0,0
18:42:00,82,0,0
18:43:00,89,29,0
18:44:00,99,84,0
18:45:00,110,114,0
18:46:00,103,27,0
18:47:00,100,59,0
18:48:00,97,26,0
18:49:00,101,49,0
18:50:00,106,24,0
18:51:00,104,21,0
18:52:00,108,21,0
18:53:00,104,27,0
18:54:00,105,12,0
18:55:00,112,79,0
18:56:00,118,67,0
18:57:00,115,33,0
18:58:00,107,1,0
18:59:00,99,10,0
19:00:00,89,0,0
19:01:00,79,0,0
19:02:00,112,0,28
19:03:00,105,59,0
19:04:00,103,108,0
19:05:00,111,116,0
19:06:00,117,66,0
19:07:00,114,33,0
19:08:00,104,7,0
19:09:00,96,13,0
19:10:00,89,0,0
19:11:00,93,8,0
19:12:00,89,0,0
19:13:00,90,0,6
19:14:00,82,0,0
19:15:00,82,6,0
19:16:00,85,7,0
19:17:00,95,58,0
19:18:00,102,103,0
19:19:00,104,81,0
19:20:00,115,0,0
19:21:00,115,0,0
19:23:00,115,0,0
19:38:00,115,0,31
19:39:00,110,0,26
19:40:00,107,9,0
19:41:00,94,0,0
19:42:00,97,0,13
19:43:00,94,0,10
19:44:00,90,0,6
19:45:00,83,0,0
19:46:00,81,0,0
19:47:00,80,0,0
19:48:00,84,0,0
19:49:00,78,0,0
19:50:00,85,0,1
19:51:00,80,0,0
19:52:00,83,0,0
19:53:00,77,0,0
19:54:00,75,0,0
19:55:00,82,0,0
19:56:00,76,0,0
19:57:00,78,0,0
19:58:00,78,0,0
19:59:00,78,0,0
20:00:00,66,0,0
20:01:00,72,0,0
20:02:00,74,0,0
20:03:00,75,0,0
20:04:00,72,0,0
20:05:00,75,0,0
20:06:00,81,0,0
20:07:00,83,0,0
20:08:00,80,0,0
20:09:00,79,0,0
20:10:00,83,0,0
20:11:00,84,0,0
20:12:00,81,0,0
20:13:00,81,0,0
20:14:00,84,0,0
20:15:00,80,0,0
20:16:00,77,0,0
20:17:00,76,0,0
20:18:00,79,0,0
20:19:00,80,0,0
20:20:00,78,0,0
20:21:00,78,0,0
20:22:00,74,0,0
20:23:00,76,25,0
20:24:00,82,7,0
20:25:00,78,0,0
20:26:00,77,0,0
20:27:00,79,0,0
20:28:00,82,0,0
20:29:00,82,0,0
20:30:00,83,0,0
20:31:00,80,0,0
20:32:00,79,0,0
20:33:00,74,0,0
20:34:00,80,0,0
20:35:00,80,0,0
20:36:00,80,0,0
20:37:00,80,0,0
20:38:00,80,0,0
20:39:00,80,0,0
20:40:00,83,0,0
20:41:00,79,0,0
20:42:00,77,0,0
20:43:00,80,0,0
20:44:00,80,8,0
20:45:00,77,6,0
20:46:00,75,7,0
20:47:00,78,0,0
20:48:00,82,0,0
20:49:00,82,0,0
20:50:00,84,0,0
20:51:00,86,19,0
20:52:00,86,0,0
20:53:00,85,4,0
20:54:00,82,0,0
20:55:00,83,0,0
20:56:00,84,0,0
20:57:00,85,0,1
20:58:00,85,0,1
20:59:00,82,0,0
21:00:00,82,0,0
21:01:00,84,0,0
21:02:00,92,0,8
21:03:00,93,0,9
21:04:00,93,0,9
21:05:00,89,0,5
21:06:00,100,0,16
21:07:00,91,0,7
21:08:00,89,0,5
21:09:00,86,0,2
21:10:00,89,0,5
21:11:00,94,0,10
21:12:00,95,0,11
21:13:00,92,0,8
21:14:00,86,0,2
21:15:00,86,6,0
21:16:00,84,0,0
21:17:00,88,0,4
21:18:00,90,0,6
21:19:00,89,0,5
21:20:00,90,0,6
21:21:00,95,0,11
21:22:00,93,0,9
21:23:00,84,0,0
21:24:00,91,0,7
21:25:00,95,0,11
21:26:00,104,0,20
21:27:00,100,0,16
21:28:00,108,11,0
21:29:00,93,0,0
21:30:00,95,4,0
21:31:00,86,0,0
21:32:00,81,0,0
21:33:00,77,0,0
21:34:00,81,0,0
21:35:00,76,4,0
21:36:00,76,0,0
21:37:00,76,0,0
21:38:00,77,0,0
21:45:00,77,0,0
21:46:00,86,0,2
21:47:00,89,0,5
21:48:00,87,0,3
21:49:00,85,0,1
21:50:00,86,0,2
21:51:00,84,0,0
21:52:00,81,0,0
21:53:00,82,0,0
21:54:00,87,0,3
21:55:00,81,0,0
21:56:00,78,0,0
21:57:00,75,0,0
21:58:00,82,0,0
21:59:00,85,0,1
22:00:00,85,0,1
22:01:00,86,0,2
22:02:00,96,0,12
22:03:00,89,0,5
22:04:00,85,0,1
22:05:00,81,0,0
22:06:00,83,0,0
22:07:00,83,0,0
22:08:00,79,0,0
22:09:00,83,0,0
22:10:00,82,0,0
22:11:00,83,0,0
22:12:00,83,0,0
22:13:00,84,0,0
22:14:00,87,0,3
22:15:00,85,0,1
22:16:00,85,17,0
22:17:00,86,0,0
22:18:00,88,0,4
22:19:00,83,0,0
22:20:00,89,0,5
22:21:00,87,0,3
22:22:00,90,0,6
22:23:00,82,0,0
22:24:00,88,0,4
22:25:00,90,0,6
22:26:00,89,0,5
22:27:00,89,0,5
22:28:00,91,0,7
22:29:00,94,5,0
22:30:00,94,0,0
22:31:00,89,0,5
22:32:00,86,8,0
22:33:00,87,0,0
22:34:00,84,0,0
22:35:00,80,0,0
22:36:00,80,0,0
22:37:00,81,0,0
22:38:00,80,0,0
22:39:00,78,0,0
22:40:00,75,8,0
22:41:00,78,0,0
22:42:00,85,0,1
22:43:00,78,0,0
22:44:00,79,0,0
22:45:00,79,0,0
22:46:00,79,0,0
22:47:00,79,0,0
22:48:00,75,0,0
22:49:00,73,0,0
22:50:00,72,0,0
22:51:00,73,0,0
22:52:00,80,0,0
22:53:00,80,0,0
22:54:00,84,0,0
22:55:00,82,0,0
22:56:00,84,0,0
22:57:00,89,0,5
22:58:00,85,0,1
22:59:00,88,0,4
23:00:00,91,0,7
23:01:00,85,0,1
23:02:00,86,0,2
23:03:00,83,0,0
23:04:00,80,0,0
23:05:00,81,0,0
23:06:00,82,0,0
23:07:00,83,0,0
23:08:00,80,0,0
23:09:00,81,0,0
23:10:00,83,0,0
23:11:00,78,0,0
23:12:00,84,0,0
23:13:00,83,0,0
23:14:00,80,0,0
23:15:00,78,0,0
23:16:00,77,9,0
23:17:00,85,0,0
23:18:00,89,0,5
23:19:00,91,0,7
23:20:00,91,0,7
23:21:00,82,0,0
23:22:00,83,0,0
23:23:00,87,0,3
23:24:00,79,11,0
23:25:00,69,0,0
23:26:00,78,0,0
23:27:00,80,0,0
23:28:00,85,0,1
23:29:00,79,0,0
23:30:00,81,0,0
23:31:00,84,0,0
23:32:00,86,0,2
23:33:00,75,0,0
23:34:00,80,0,0
23:35:00,84,12,0
23:36:00,88,0,0
23:37:00,84,0,0
23:38:00,82,0,0
23:39:00,81,0,0
23:40:00,77,0,0
23:41:00,76,0,0
23:42:00,81,0,0
23:43:00,84,0,0
23:44:00,83,0,0
23:45:00,83,0,0
23:46:00,83,0,0
23:47:00,84,0,0
23:48:00,86,0,2
23:49:00,86,0,2
23:50:00,87,0,3
23:51:00,85,0,1
23:52:00,84,0,0
23:53:00,86,0,2
23:54:00,90,0,6
23:55:00,82,0,0
23:56:00,82,0,0
23:57:00,83,0,0
23:58:00,79,0,0
23:59:00,80,0,0
